Teff logg [Fe/H] z E(B-V) W(HVI)K DmuRLB DmuRW
5400 1.5 0.0 0.005 0.00  2  7 1
5400 1.5 0.0 0.005 0.01  2  7 1
5400 1.5 0.0 0.005 0.03  2  7 1
5400 1.5 0.0 0.005 0.05  2  7 1
5400 1.5 0.0 0.005 0.10  3  7 1
5400 1.5 0.0 0.005 0.20  4  7 1
5400 1.5 0.0 0.005 0.30  6  7 1
5400 1.5 0.0 0.005 0.40  8  7 1
5400 1.5 0.0 0.005 0.50 10  7 1
5400 1.5 0.0 0.010 0.00  3 14 1
5400 1.5 0.0 0.010 0.01  3 14 1
5400 1.5 0.0 0.010 0.03  3 14 1
5400 1.5 0.0 0.010 0.05  4 14 1
5400 1.5 0.0 0.010 0.10  4 14 1
5400 1.5 0.0 0.010 0.20  5 14 1
5400 1.5 0.0 0.010 0.30  6 14 1
5400 1.5 0.0 0.010 0.40  8 14 1
5400 1.5 0.0 0.010 0.50  9 14 1
5400 1.5 0.0 0.015 0.00  5 21 2
5400 1.5 0.0 0.015 0.01  5 21 2
5400 1.5 0.0 0.015 0.03  5 21 2
5400 1.5 0.0 0.015 0.05  5 21 2
5400 1.5 0.0 0.015 0.10  6 21 2
5400 1.5 0.0 0.015 0.20  6 21 2
5400 1.5 0.0 0.015 0.30  7 21 2
5400 1.5 0.0 0.015 0.40  8 21 2
5400 1.5 0.0 0.015 0.50  9 21 2
5400 1.5 0.0 0.020 0.00  7 28 3
5400 1.5 0.0 0.020 0.01  7 28 3
5400 1.5 0.0 0.020 0.03  7 28 3
5400 1.5 0.0 0.020 0.05  7 28 3
5400 1.5 0.0 0.020 0.10  7 28 3
5400 1.5 0.0 0.020 0.20  7 28 3
5400 1.5 0.0 0.020 0.30  8 28 3
5400 1.5 0.0 0.020 0.40  8 28 3
5400 1.5 0.0 0.020 0.50  9 28 3
5400 1.5 0.0 0.025 0.00  8 35 3
5400 1.5 0.0 0.025 0.01  8 35 3
5400 1.5 0.0 0.025 0.03  8 35 3
5400 1.5 0.0 0.025 0.05  8 35 3
5400 1.5 0.0 0.025 0.10  8 35 3
5400 1.5 0.0 0.025 0.20  8 35 3
5400 1.5 0.0 0.025 0.30  8 35 3
5400 1.5 0.0 0.025 0.40  8 35 3
5400 1.5 0.0 0.025 0.50  9 35 3
5400 1.5 0.0 0.030 0.00  8 42 4
5400 1.5 0.0 0.030 0.01  8 42 4
5400 1.5 0.0 0.030 0.03  8 42 4
5400 1.5 0.0 0.030 0.05  8 42 4
5400 1.5 0.0 0.030 0.10  8 42 4
5400 1.5 0.0 0.030 0.20  7 42 4
5400 1.5 0.0 0.030 0.30  7 42 4
5400 1.5 0.0 0.030 0.40  7 42 4
5400 1.5 0.0 0.030 0.50  7 42 4
